Country,avg_d_mbps,avg_d_mbps_w,k_tests,year,d_type
Afghanistan,8.9,6.9,15.9,2019,mobile
Albania,47.6,43.7,26.8,2019,mobile
Algeria,7.6,6.9,358.6,2019,mobile
American Samoa,16.4,14.7,0.3,2019,mobile
Andorra,56.1,57.5,0.5,2019,mobile
Angola,17.2,17.6,4.4,2019,mobile
Anguilla,25.2,25.7,0.6,2019,mobile
Antigua and Barbuda,33.4,33.6,2.4,2019,mobile
Argentina,21.4,20.5,331.4,2019,mobile
Armenia,29.3,26.3,71.3,2019,mobile
Aruba,60.9,60.2,3.3,2019,mobile
Australia,75.8,67.4,1065.0,2019,mobile
Austria,45.1,44.4,377.6,2019,mobile
Azerbaijan,31.9,25.7,80.8,2019,mobile
Bahrain,25.8,25.7,37.8,2019,mobile
Bangladesh,10.2,9.1,275.3,2019,mobile
Barbados,33.6,34.0,0.9,2019,mobile
Belarus,13.3,12.5,291.1,2019,mobile
Belgium,47.1,45.0,91.0,2019,mobile
Belize,20.6,20.4,6.5,2019,mobile
Benin,10.0,7.5,7.9,2019,mobile
Bermuda,22.7,23.2,0.1,2019,mobile
Bhutan,13.0,14.3,3.2,2019,mobile
Bolivia,16.2,14.9,112.2,2019,mobile
Bosnia and Herzegovina,31.1,22.6,105.4,2019,mobile
Botswana,14.4,13.2,4.4,2019,mobile
Brazil,21.9,19.8,3955.1,2019,mobile
British Virgin Islands,24.1,23.1,0.5,2019,mobile
Brunei,23.5,20.8,7.9,2019,mobile
Bulgaria,48.3,40.4,105.8,2019,mobile
Burkina Faso,11.9,9.4,7.6,2019,mobile
Burundi,9.0,7.9,2.0,2019,mobile
Cambodia,12.2,11.8,218.9,2019,mobile
Cameroon,17.5,16.5,10.9,2019,mobile
Canada,74.9,72.9,458.6,2019,mobile
Cape Verde,16.2,15.7,3.5,2019,mobile
Cayman Islands,27.6,25.2,0.7,2019,mobile
Central African Republic,5.9,5.2,0.4,2019,mobile
Chad,11.2,11.1,1.6,2019,mobile
Chile,18.6,18.3,672.9,2019,mobile
Colombia,17.3,16.2,491.3,2019,mobile
Comoros,36.0,45.4,1.0,2019,mobile
Cook Islands,39.2,34.1,0.2,2019,mobile
Costa Rica,18.7,17.3,195.2,2019,mobile
Croatia,48.7,44.7,295.9,2019,mobile
Cuba,23.4,21.6,2.9,2019,mobile
Curaçao,54.6,51.8,1.6,2019,mobile
Cyprus,36.3,32.1,17.4,2019,mobile
Czech Republic,46.6,43.6,136.7,2019,mobile
Democratic Republic of the Congo,11.7,10.8,6.0,2019,mobile
Denmark,48.6,49.8,185.2,2019,mobile
Djibouti,42.5,46.9,0.1,2019,mobile
Dominica,22.2,22.3,0.8,2019,mobile
Dominican Republic,20.5,18.3,173.6,2019,mobile
East Timor,8.0,7.3,1.0,2019,mobile
Ecuador,21.1,18.2,79.7,2019,mobile
Egypt,16.4,13.3,311.3,2019,mobile
El Salvador,9.7,8.8,84.2,2019,mobile
Equatorial Guinea,19.7,23.6,0.2,2019,mobile
Eritrea,7.5,9.4,0.0,2019,mobile
Estonia,43.6,43.5,80.1,2019,mobile
Ethiopia,20.8,12.3,4.3,2019,mobile
Faroe Islands,91.4,92.3,1.7,2019,mobile
Federated States of Micronesia,10.0,8.9,0.1,2019,mobile
Fiji,24.2,25.2,8.7,2019,mobile
Finland,44.2,43.2,1217.2,2019,mobile
France,42.3,41.3,1330.5,2019,mobile
French Polynesia,22.5,22.6,0.8,2019,mobile
Gabon,11.9,13.9,1.7,2019,mobile
Georgia,29.1,26.3,18.2,2019,mobile
Germany,34.1,31.7,1142.1,2019,mobile
Ghana,11.8,10.9,18.1,2019,mobile
Greece,38.9,37.7,227.6,2019,mobile
Greenland,55.5,64.1,0.5,2019,mobile
Grenada,23.0,20.3,0.3,2019,mobile
Guam,21.3,22.9,3.2,2019,mobile
Guantanamo Bay Naval Base,60.3,57.2,0.0,2019,mobile
Guatemala,16.8,13.2,108.0,2019,mobile
Guernsey,39.9,37.8,1.8,2019,mobile
Guinea,12.0,11.1,1.3,2019,mobile
Guinea-Bissau,36.4,26.3,1.2,2019,mobile
Guyana,10.1,9.4,1.2,2019,mobile
Haiti,17.9,15.5,10.9,2019,mobile
Honduras,22.5,19.2,39.9,2019,mobile
Hong Kong,33.1,32.0,200.2,2019,mobile
Hungary,41.5,39.5,272.7,2019,mobile
Iceland,73.8,69.4,6.8,2019,mobile
India,11.0,12.6,18383.1,2019,mobile
Indonesia,11.6,11.0,6340.7,2019,mobile
Iran,28.2,28.2,267.5,2019,mobile
Iraq,10.8,4.3,41.0,2019,mobile
Ireland,25.2,24.3,291.2,2019,mobile
Isle of Man,31.0,30.4,2.4,2019,mobile
Israel,23.9,23.6,229.1,2019,mobile
Italy,32.1,31.3,5063.5,2019,mobile
Ivory Coast,17.9,16.3,14.3,2019,mobile
Jamaica,35.1,32.0,15.1,2019,mobile
Japan,25.0,24.8,651.5,2019,mobile
Jersey,46.9,43.4,1.7,2019,mobile
Jordan,16.1,16.2,200.3,2019,mobile
Kazakhstan,19.9,18.2,272.6,2019,mobile
Kenya,16.1,14.4,38.4,2019,mobile
Kiribati,19.8,28.7,0.0,2019,mobile
Kosovo,24.8,23.2,8.3,2019,mobile
Kuwait,49.9,49.3,199.0,2019,mobile
Kyrgyzstan,16.3,15.7,53.0,2019,mobile
Laos,24.7,24.0,98.0,2019,mobile
Latvia,32.6,31.7,110.6,2019,mobile
Lebanon,38.5,37.7,21.0,2019,mobile
